Missouri        Jefferson_City
Minnesota       St._Paul
Vermont         Montpelier
Kentucky        Frankfort
Tennessee       Nashville
New_Mexico      Santa_Fe
Utah            Salt_Lake_City
New_Hampshire   Concord
Arkansas        Little_Rock
Washington      Olympia
South_Dakota    Pierre
Colorado        Denver
South_Carolina  Columbia
Alaska          Juneau
Florida         Tallahassee
Maine           Augusta
Wisconsin       Madison
West_Virginia   Charleston
California      Sacramento
Pennsylvania    Harrisburg
Virginia        Richmond
Mississippi     Jackson
Indiana         Indianapolis
Michigan        Lansing
Delaware        Dover
Massachusetts   Boston
Nevada          Carson_City
Hawaii          Honolulu
Oregon          Salem
Louisiana       Baton_Rouge
North_Dakota    Bismarck
Nebraska        Lincoln
Georgia         Atlanta
Texas           Austin
Montana         Helena
New_York        Albany
Idaho           Boise
Wyoming         Cheyenne
Illinois        Springfield
Connecticut     Hartford
Oklahoma        Oklahoma_City
Ohio            Columbus
New_Jersey      Trenton
Maryland        Annapolis
Alabama         Montgomery
Kansas          Topeka
Iowa            Des_Moines
North_Carolina  Raleigh
Arizona         Phoenix
Rhode_Island    Providence
